timestamp,open,high,low,close,volume
2025-06-25,168.65,173.36,168.5605,171.49,23627355
2025-06-24,167.685,169.25,166.91,167.74,27310266
2025-06-23,167.32,168.48,163.33,166.01,36975585
2025-06-20,174.865,175.365,166.27,167.73,55402575
2025-06-18,177.28,177.8235,172.84,173.98,32531762
2025-06-17,177.0,178.715,175.94,177.23,17656119
2025-06-16,175.905,178.245,175.82,177.94,18132529
2025-06-13,173.58,178.3432,173.57,175.88,20873241
2025-06-12,177.48,178.13,176.11,176.97,17345924
2025-06-11,181.23,181.75,178.0,178.79,18994398
2025-06-10,177.76,182.445,176.475,180.01,32908000
2025-06-09,175.87,177.915,175.66,177.63,18817587
2025-06-06,172.3,175.83,172.3,174.92,22258115
2025-06-05,171.62,172.36,169.35,169.81,25422883
2025-06-04,168.28,169.58,167.795,169.39,18508735
2025-06-03,168.865,169.8,166.68,167.71,25386713
2025-06-02,169.01,171.0624,168.65,170.37,24742877
2025-05-30,172.41,173.44,168.525,172.85,36258254
2025-05-29,175.0,175.4,171.78,172.96,21233590
2025-05-28,173.98,176.48,173.0146,173.38,25999228
2025-05-27,171.3,174.29,171.21,173.98,24341333
2025-05-23,170.28,171.205,169.26,169.59,24963648
2025-05-22,173.35,178.13,171.88,171.98,45024081
2025-05-21,164.95,174.53,164.89,170.06,45567580
2025-05-20,167.76,169.68,164.26,165.32,33563274
2025-05-19,165.715,167.95,165.415,167.87,21374688
2025-05-16,168.93,170.65,166.95,167.43,36271378
2025-05-15,167.14,167.51,163.84,165.4,22717554
2025-05-14,161.31,168.34,160.93,166.81,31769209
2025-05-13,159.92,162.06,157.58,160.89,24944270
2025-05-12,159.1,160.44,157.8898,159.58,31884901
2025-05-09,155.55,156.43,153.83,154.38,22871035
2025-05-08,155.92,157.41,154.1,155.75,38387507
2025-05-07,166.07,166.99,149.4901,152.8,78900429
2025-05-06,163.96,166.74,163.13,165.2,10691949
2025-05-05,164.515,167.1,164.47,166.05,15309343
2025-05-02,164.955,166.7,163.66,165.81,16844937
2025-05-01,162.52,163.94,160.93,162.79,21904291
2025-04-30,159.86,161.374,157.155,160.89,20639520
2025-04-29,162.045,162.68,159.39,162.06,15955215
2025-04-28,164.26,164.95,160.3801,162.42,20871153
2025-04-25,167.1,168.24,163.0,163.85,35148053
2025-04-24,158.525,161.71,158.09,161.47,30787481
2025-04-23,157.91,160.02,156.35,157.72,18575735
2025-04-22,151.07,154.61,150.87,153.9,15910327
2025-04-21,150.965,151.06,148.4,149.86,16147780
2025-04-17,156.61,157.07,150.9,153.36,19513408
2025-04-16,155.47,158.18,153.91,155.5,16921497
2025-04-15,161.57,162.05,157.645,158.68,15690783
2025-04-14,162.31,164.03,159.92,161.47,18255931
2025-04-11,155.585,159.86,155.585,159.4,22581989
2025-04-10,158.76,160.03,152.2,155.37,35270540
2025-04-09,146.33,161.87,145.81,161.06,46479542
2025-04-08,153.575,154.44,145.21,146.58,35304388
2025-04-07,143.39,154.93,142.66,149.24,47823024
2025-04-04,149.9,153.09,147.54,147.74,39832207
2025-04-03,152.835,154.6872,152.18,152.63,28416065
2025-04-02,156.96,160.275,156.53,158.86,17113321
2025-04-01,155.3,160.08,155.255,158.88,20111376
2025-03-31,154.81,157.13,152.21,156.23,33591554
2025-03-28,162.36,163.81,155.3394,156.06,34866462
2025-03-27,166.71,167.44,163.85,164.08,21571174
2025-03-26,171.3,171.9396,166.8606,167.14,22554236
2025-03-25,171.18,172.91,170.55,172.79,13841592
2025-03-24,169.265,170.5,167.44,169.93,18742848
2025-03-21,163.38,166.47,163.03,166.25,29882064
2025-03-20,163.825,167.03,163.14,165.05,19981512
2025-03-19,163.915,168.1334,163.05,166.28,24955717
2025-03-18,165.96,166.44,158.8,162.67,24616784
2025-03-17,167.325,168.46,165.81,166.57,17839139
2025-03-14,165.315,168.25,164.51,167.62,18611094
2025-03-13,167.98,168.12,164.07,164.73,15206165
2025-03-12,168.47,169.53,165.48,169.0,19880062
2025-03-11,166.68,168.655,163.24,165.98,23705899
2025-03-10,170.16,170.45,165.565,167.81,28335500
2025-03-07,173.242,176.9,172.25,175.75,16395287
2025-03-06,172.55,176.73,172.508,174.21,19082404
2025-03-05,172.32,175.75,170.93,174.99,18848036
2025-03-04,167.94,175.165,167.54,172.61,30711408
2025-03-03,173.73,175.0,167.64,168.66,24121991
2025-02-28,170.3,172.5,168.39,172.22,30049812
2025-02-27,175.94,176.59,169.752,170.21,25930530
2025-02-26,176.945,178.08,173.59,174.7,23693251
2025-02-25,180.155,180.76,176.77,177.37,20832485
2025-02-24,183.8,185.09,180.88,181.19,18734014
2025-02-21,187.29,187.47,181.13,181.58,19520782
2025-02-20,186.5,187.12,184.6,186.64,12063807
2025-02-19,186.185,187.36,185.5,187.13,13120465
2025-02-18,187.44,187.78,183.58,185.8,19796028
2025-02-14,186.83,188.15,186.11,186.87,12714154
2025-02-13,185.93,187.99,184.88,187.88,12729334
2025-02-12,185.23,186.83,183.63,185.43,17632314
2025-02-11,186.835,188.8,186.08,187.07,13028100
2025-02-10,189.06,189.99,187.61,188.2,16606020
2025-02-07,192.74,193.015,185.1,187.14,29565724
2025-02-06,190.99,193.83,190.49,193.31,20816593
2025-02-05,193.1,194.5499,189.91,193.3,43719589
2025-02-04,204.5,208.7,204.26,207.71,28285436
2025-02-03,202.215,205.22,201.66,202.64,16719469
2025-01-31,203.715,207.08,203.58,205.6,17087335
